video_id,title,published_at,keyword,views,likes,comments_count,avg_sentiment,comment_count,views_rank,likes_rank,sentiment_rank,popularity_score,popularity_status
wAZZ-UWGVHI,Apple Pay Is Killing the Physical Wallet After Only Eight Years | Tech News Briefing Podcast | WSJ,23/8/2022,tech,135612,3407,672,1.2,10,0.3083197389885807,0.28602501359434473,0.6,0.3599673735725938,Not Popular
b3x28s61q3c,The most EXPENSIVE thing I own.,24/8/2022,tech,1758063,76779,4306,1.8,10,0.6900489396411092,0.7819467101685699,0.9,0.7596084828711256,Popular
4mgePWWCAmA,My New House Gaming Setup is SICK!,23/8/2022,tech,1564007,63825,3338,1.9,10,0.6661228928765633,0.7612833061446438,0.95,0.7514464382816748,Popular
kXiYSI7H2b0,Petrol Vs Liquid Nitrogen | Freezing Experiment | à´ªàµà´àµà´°àµà´³à´¿à´¨àµ à´à´¸àµ à´à´à´¾àµ» à´ªà´±àµà´±àµà´®àµ | M4 Tech |,23/8/2022,tech,922918,71566,1426,1.6,10,0.5747688961392061,0.7716150081566069,0.8,0.6788689505165851,Average
ErMwWXQxHp0,Best Back to School Tech 2022!,8/8/2022,tech,1855644,96513,5155,1.6,10,0.6987493202827624,0.809679173,0.8,0.7522784121805329,Popular
18fwz9Itbvo,Brewmaster Answers Beer Questions From Twitter | Tech Support | WIRED,5/11/2021,tech,943119,33570,1643,1.3,10,0.5812941816204459,0.6536160957041871,0.65,0.6167319195214791,Average
jXf04bhcjbg,Tech Monopolies: Last Week Tonight with John Oliver (HBO),13/6/2022,tech,5937790,135047,9367,1.1,10,0.8314301250679718,0.8471995649809679,0.55,0.7798749320282762,Popular
2TqOmtTAMRY,I bought the STRANGEST TECH on the Internet.,7/8/2022,tech,4782514,216935,12605,1.8,10,0.8075040783034257,0.8912452419793366,0.9,0.8511256117455138,Popular
wLlL46pYcg4,15 Emerging Technologies that Will Change the World,8/12/2021,tech,7001236,45565,2882,1.1,10,0.8482871125611745,0.7020119630233823,0.55,0.7447471451876019,Popular
R7qsau3X6Ks,Toxicologist Answers More Poison Questions From Twitter | Tech Support | WIRED,14/7/2022,tech,667767,24252,1068,1.1,10,0.5220228384991843,0.5872756933115824,0.55,0.5471941272430668,Average
MEiq0oCUb_8,Dope Tech: The Most Extreme Gaming Monitor!,15/8/2022,tech,2359142,118001,4123,1.7,10,0.7253942359978249,0.8297988036976618,0.85,0.7816367591082111,Popular
pT_9hntWj34,Cool Tech Under $50 - August!,6/8/2022,tech,413179,20999,3091,2,10,0.4480696030451332,0.5622620989668298,1,0.5927134312126155,Average
cj4lxmHQV0o,Cool Back to School Tech 2022 ð¥ (Under $100),13/8/2022,tech,389114,15322,547,1.5,10,0.43936922240348014,0.5073409461663948,0.75,0.5218868950516585,Average
d-BdIo8_wpA,Best Tech/EDC Gifts Under $50 for Father&#39;s Day! - Gift Guide 2022,15/12/2021,tech,444953,17866,157,1.8,10,0.45840130505709625,0.5307232191408374,0.9,0.5684176182707994,Average
eFhhW6fsAbQ,My Massive Tech Unboxing 47.0!,9/7/2022,tech,371563,13217,442,1.8,10,0.4312126155519304,0.48613376835236544,0.9,0.5414464382816748,Average
N88OE2ZCHBM,Why Millennials Are Leaving Six-Figure Tech Jobs,4/6/2021,tech,1633059,26890,4999,1.2,10,0.6710168569874932,0.6068515497553018,0.6,0.6375638934203371,Average
PKATJiyz0iI,10 Coolest Gadgets and Inventions That Will Blow Your Mind,13/8/2021,tech,760249,9562,199,1.2,10,0.5426862425231104,0.433931485,0.6,0.5215225666122892,Average
qiMnSaZWf3M,17 Coolest Gadgets You Can Actually Buy,21/7/2022,tech,1086568,11743,143,1.1111111111111112,9,0.6041326808047852,0.466557912,0.5555555555555556,0.5531448250860975,Average
4AnyhHl3_tE,Almost EVERYONE is Wasting Money on Dash Cams.,14/8/2022,tech,3186890,146978,11105,1.3,10,0.766721044,0.8586188145731376,0.65,0.7709461663947798,Popular
nmY2kgWYwyQ,I bought the THINNEST Tech in the world.,25/3/2022,tech,11422924,363771,13609,1.7,10,0.8999456226209896,0.9260467645459489,0.85,0.8977868406742796,Popular
HMqyLcNmsec,iPhone 14 Lineup is NOT what you Expected.. (plot twist),24/8/2022,tech,63650,2117,486,1.8,10,0.21315932572050028,0.21642196846112016,0.9,0.3515062533985862,Not Popular
Q2ysbTVlPdk,Doctor Answers Gut Questions From Twitter | Tech Support | WIRED,12/5/2022,tech,1280387,42841,1357,1.9,10,0.6296900489396411,0.6884176182707994,0.95,0.7113703099510604,Popular
zI8KQq5zmyM,Cool Tech Under $50 - July!,2/7/2022,tech,530889,23689,2842,1.7,10,0.4839586731919521,0.5812941816204459,0.85,0.5863675910821099,Average
iEAlq1GPgnc,Wolfgang Puck Answers Restaurant Questions From Twitter | Tech Support | WIRED,18/6/2021,tech,2122433,55231,2175,1.6,10,0.713431213,0.7373572593800979,0.8,0.7379227841218053,Popular
IHnhSxizVOA,Battle Of The Tech - Super Bike Vs World Superbike,31/7/2022,tech,35948,1289,183,1.1,10,0.14627514953779228,0.15742251223491027,0.55,0.23036432843936924,Not Popular
Ql1-RZ2FUrc,OnePlus 10R vs 10T | Unboxing &amp; Comparison,24/8/2022,tech,23175,970,207,1.4444444444444444,9,0.10386079390973355,0.1272430668841762,0.7222222222222222,0.23454776146456408,Not Popular
Fpof56HU6SY,Tech Hiring Slowdown: Whatâs Different This Time? | Tech News Briefing Podcast | WSJ,10/8/2022,tech,78520,1608,273,0.8,10,0.24089178901576944,0.18107667210440456,0.4,0.2547688961392061,Not Popular
bbbQ_X45FaA,10 New Tech Gadgets 2022 | You Can Buy Right Now,27/5/2022,tech,63599,1452,38,1.8,10,0.21261555193039697,0.16856987493202827,0.9,0.336878738,Not Popular
MtMkU-1p7-0,Taste Expert Answers Questions From Twitter | Tech Support | WIRED,3/6/2022,tech,1006704,35758,2056,1.5,10,0.5910821098423056,0.6634040239260468,0.75,0.6445622620989668,Average
QYlXL_8ei6g,Audiologist Answers Hearing Questions From Twitter | Tech Support | WIRED,19/8/2022,tech,257848,8725,790,1.7,10,0.38227297444263186,0.4192495921696574,0.85,0.4869113648722132,Average
zFCFe38EIfE,James Dyson Answers Design Questions From Twitter | Tech Support | WIRED,30/11/2021,tech,2954979,110145,3289,1.4,10,0.7596519847743338,0.8243610657966286,0.7,0.7671343121261555,Popular
LOrkbagIpiY,My Massive Tech Unboxing 46.0!,28/5/2022,tech,304037,12188,326,1.8,10,0.4078303425774878,0.47362697117998914,0.9,0.5260032626427407,Average
UK5OHUmIgcc,Cool Tech Under $50 - April!,2/4/2022,tech,1541386,59458,4159,2,10,0.6628602501359434,0.7487765089722676,1,0.756063078,Popular
My2Tr3k1liw,15 Emerging Technologies That Will Change Our World,14/5/2022,tech,589007,3494,136,1.3333333333333333,9,0.499184339,0.28983143012506796,0.6666666666666666,0.46987493202827624,Average
IUwqf08-FKU,Veterinarian Answers Pet Questions From Twitter | Tech Support | WIRED,5/5/2022,tech,1085076,36423,1902,0.7,10,0.6030451332245785,0.6661228928765633,0.35,0.5713594344752583,Average
U48UrDpXGog,What Is The Best Position For Descending? | GCN Tech Clinic,24/8/2022,tech,25594,941,221,1.1,10,0.11528004350190321,0.12398042414355628,0.55,0.2048341489940185,Not Popular
_f8Gb-vojoU,INVENTIONS OF THE FUTURE THAT WILL SOON BE AVAILABLE TO EVERYONE,16/3/2022,tech,7188648,42075,1820,1.8,10,0.8520935290918977,0.6867862969004894,0.9,0.8120826536160958,Popular
MAeXrShneoQ,"Twitter Whistleblower Accuses Company of Privacy, Security Issues | Tech News Briefing Podcast | WSJ",24/8/2022,tech,25745,709,128,0.7,10,0.11636759108210984,0.097879282,0.35,0.15754758020663404,Not Popular
AREK4H8k7Ng,"I Did a Terrible Job of This - Intel $5,000 Extreme Tech Upgrade",23/7/2022,tech,1889567,78852,3926,1.4,10,0.7014681892332789,0.7862969004893964,0.7,0.7266231647634583,Popular
B0HI0RTZdJw,Cool Tech Under $50 - June!,4/6/2022,tech,786765,32102,3243,1.9,10,0.5464926590538336,0.644915715,0.95,0.656721044,Average
Wuq7lS9rljw,18 DEADLY Tech Fails that need to be BANNED.,2/7/2022,tech,4195072,188623,7464,0.9,10,0.7922784121805329,0.878194671,0.45,0.7495976073953236,Popular
VuG4BcghOSg,I bought the BIGGEST Tech in the world.,4/12/2021,tech,9618335,343227,20854,1.6,10,0.8809135399673735,0.9206090266449157,0.8,0.8766394779771615,Popular
o-jUQhCeazQ,Neil Gaiman Answers Mythology Questions From Twitter | Tech Support | WIRED,4/8/2022,tech,791624,43960,1767,1.7,10,0.5481239804241436,0.6933115823817292,0.85,0.6520554649265906,Average
UxjgqBamqDU,My Favorite Tech of the Month!,30/7/2022,tech,274201,4492,169,1.8,10,0.39206090266449156,0.322457858,0.9,0.4727678085916259,Average
YvZPU-KBCiQ,Paleontologist Answers Dinosaur Questions From Twitter | Tech Support | WIRED,8/6/2022,tech,1156785,51846,2371,1.6,10,0.6139206090266449,0.7270255573681349,0.8,0.685067972,Popular
4RkfqEWK2FI,Primary results in New York and Florida hold national implications for Democrats,24/8/2022,news,57858,534,538,0.5,10,0.20337139749864055,0.075040783,0.25,0.17419793365959763,Not Popular
GK8CFuXExLw,Ex-CIA director predicts what&#39;s next in Russia-Ukraine war,24/8/2022,news,544884,8526,3934,1,10,0.48776508972267535,0.4154431756389342,0.5,0.4685154975530179,Average
95MMQzBkE30,President Zelenskyy promises victory over Russia on Ukrainian Independence Day,24/8/2022,news,69951,588,887,0.7,10,0.2262098966829799,0.082109842,0.35,0.2077379010331702,Not Popular
nv7owOSprnI,"6 months later, what&#39;s next in the Ukraine war? l ABC News",24/8/2022,news,18531,137,222,0.5,10,0.087003806,0.028820010875475803,0.25,0.1021479064709081,Not Popular
rqbFOOt1q9M,More than 700 pages of classified documents found at Mar-a-Lago,24/8/2022,news,86855,848,1384,0.8,10,0.2544861337683524,0.11419249592169657,0.4,0.24150081566068518,Not Popular
_XFJpfSFcpU,Nadler Celebrates Win In New York House Primary,24/8/2022,news,131012,827,1653,0.9,10,0.3012506797172376,0.11174551386623165,0.45,0.2741489940184883,Not Popular
fNHmQdrlIZE,Biden Announces Plan For Federal Student Loan Debt Relief,24/8/2022,news,54596,1200,2841,0.9,10,0.19303969548667754,0.1468189233278956,0.45,0.23056552474170744,Not Popular
zvS8Fmxv1_U,Morning News NOW Full Broadcast - Aug. 23,23/8/2022,news,235019,1167,180,1,10,0.37302882001087545,0.14518760195758565,0.5,0.33007069059271343,Not Popular
OTFKyW-vc_Y,Biden plans to forgive $300 billion in student loan debt: Report,24/8/2022,news,60528,1573,2670,0.6,10,0.20826536160957043,0.17998912452419794,0.3,0.2181294181620446,Not Popular
IH3DYzS4MdI,ABC News Live: Trump files motion to bar review of materials seized from Mar-a-Lago,23/8/2022,news,106127,1145,793,0.3,10,0.27569331158238175,0.14192495921696574,0.15,0.21042414355628059,Not Popular
q7sXUpqA_X4,More than 100 classified Trump docs recovered from Mar-a-Lago in January,23/8/2022,news,75301,474,1553,0.3,10,0.23436650353452965,0.06742795,0.15,0.16741163675910822,Not Popular
NS-9bd2hOOQ,"National Shutdown | Workers hit the streets over rising cost of living: Pretoria, GP",24/8/2022,news,17145,82,26,0.4,10,0.081566069,0.019847743,0.2,0.086737357,Not Popular
0IH09JBETbI,JORNAL DA MANHÃ - 24/08/2022,24/8/2022,news,500097,23828,47,1,10,0.47362697117998914,0.5829255029907559,0.5,0.5116911364872213,Average
lX3EBSNjPII,Trump legal team trying to stop Department of Justice from reviewing records seized from Mar-a-Lago,23/8/2022,news,127082,775,1517,0.6,10,0.29581294181620443,0.10657966286025014,0.3,0.23988036976617727,Not Popular
Tey5qEth4oA,Netanyahu: This will make the Middle East a nuclear powder keg,24/8/2022,news,237313,8484,2192,0.4,10,0.37411636759108213,0.41381185426862427,0.2,0.35120174007612837,Not Popular
L5p4Nov0KkU,Nightly News Full Broadcast - Aug. 19,20/8/2022,news,905023,7946,1559,0.9,10,0.5725938009787929,0.4061990212071778,0.45,0.4981566068515498,Average
MSTmUJU48g4,"Americans Are Angry And Worried About U.S. Future, New NBC News Poll Shows",21/8/2022,news,34715,510,560,0.1,10,0.1408374116367591,0.072321914,0.05,0.1021152800435019,Not Popular
Sdm1WsGGU0w,Breaking News: Jharkhand à¤à¥ CM Hemant Soren à¤à¥ à¤à¤°à¥à¤¬à¥ à¤ªà¤° ED à¤¨à¥ à¤à¤¸à¥ à¤¨à¤à¥à¤² | Prem Prakash | Ranchi News,24/8/2022,news,10642,129,7,1,3,0.0560087,0.026644915715062535,0.5,0.13599782490483958,Not Popular
XHKojSQxTs0,Zee Hindustan Live News: Attack On Nitish Kumar Convoy | Bihar News | Tejashwi Yadav |Bihar Politics,24/8/2022,news,172513,1288,3,0.3333333333333333,3,0.33713974986405654,0.1566068515497553,0.16666666666666666,0.2488852637302882,Not Popular
